agbd,rh98,lat,lon,NDVI,EVI,NDMI,NBR,SAVI,B02_Blue,B04_Red,B08_NIR,B11_SWIR1,B12_SWIR2
174.87897,28.15,10.697363521532276,92.42042557183467,0.7639326,0.53314984,0.21448252,0.50757205,0.4717614,0.0404,0.0413,0.3086,0.1996,0.1008
218.86826,27.97,10.69778148467483,92.42073504011056,0.794812,0.5451384,0.28505847,0.58711344,0.4851738,0.0358,0.0352,0.3079,0.1713,0.0801
187.50925,29.28,10.698201313987756,92.42104523752076,0.752809,0.50610423,0.22991689,0.5470384,0.4483902,0.0411,0.0407,0.2886,0.1807,0.0845
112.52612,19.39,10.698614798957877,92.42135291822879,0.82235837,0.6307506,0.314675,0.6260533,0.54193765,0.0385,0.0348,0.357,0.1861,0.0821
131.96483,22.42,10.69903542650206,92.42166340906405,0.8392012,0.63042784,0.30963516,0.62563866,0.5440609,0.0356,0.0306,0.35,0.1845,0.0806
116.695816,21.9,10.699449380065353,92.42197124898586,0.8216994,0.609936,0.33588958,0.64107394,0.534221,0.0353,0.0341,0.3484,0.1732,0.0762
129.59906,20.21,10.699868151619256,92.42228097637195,0.8490164,0.631375,0.33256707,0.6351669,0.546793,0.0338,0.0284,0.3478,0.1742,0.0776
126.77862,24.6,10.700284443614423,92.42258970587324,0.83423525,0.5813353,0.29032257,0.6108054,0.5162143,0.0316,0.0291,0.322,0.1771,0.0778
123.476585,23.4,10.70070088903029,92.42289847715709,0.8316039,0.5655014,0.27355182,0.58450884,0.50250804,0.0319,0.0284,0.3089,0.1762,0.081
139.19899,23.06,10.701117689910763,92.4232074051023,0.8519755,0.61306214,0.30381978,0.6104524,0.5344426,0.0325,0.0266,0.3328,0.1777,0.0805
152.47324,26.28,10.701532592485659,92.42351556516701,0.8582996,0.66046184,0.35523158,0.6473755,0.56836456,0.0335,0.028,0.3672,0.1747,0.0786
112.86762,17.89,10.701946696168156,92.42382339230741,0.85100293,0.6860179,0.35099342,0.6497127,0.58184594,0.0368,0.0312,0.3876,0.1862,0.0823
156.31052,25.94,10.702365618557762,92.42413310686678,0.8330053,0.59982187,0.29880482,0.6098766,0.5193993,0.0359,0.0297,0.326,0.176,0.079
162.12845,31.15,10.702782441408226,92.42444197589776,0.8336437,0.5643094,0.28072834,0.5822174,0.49002674,0.0355,0.0268,0.2954,0.1659,0.078
220.08339,31.15,10.703197058556624,92.42474995819195,0.7664149,0.53707397,0.2650853,0.5415821,0.46872777,0.0423,0.0402,0.304,0.1766,0.0904
131.02644,23.96,10.703613248135524,92.42505854714325,0.79446834,0.6165327,0.336862,0.6160878,0.5252768,0.0436,0.0405,0.3536,0.1754,0.084
153.75072,24.45,10.704029939917463,92.42536732058434,0.7920972,0.54257756,0.2199462,0.53661716,0.471532,0.0399,0.0342,0.2948,0.1885,0.0889
80.00637,18.16,10.70444697653557,92.42567621709446,0.8140394,0.54750276,0.25789922,0.55625993,0.48084384,0.0358,0.0302,0.2946,0.1738,0.084
167.5287,25.01,10.705280309615768,92.42629368038892,0.8426229,0.611056,0.27703083,0.60266167,0.5341801,0.0331,0.0288,0.3372,0.1909,0.0836
389.05692,44.03,10.705695200388044,92.42660169291409,0.64507985,0.46599698,0.22249998,0.4889622,0.40288314,0.0585,0.0633,0.2934,0.1866,0.1007
